MarkerID,Marker No.,Title,Subtitle,Add'l Subtitle,Year Erected,Erected By,Latitude (minus=S),Longitude (minus=W),Street Address,City or Town,Section or Quarter,County or Parish,State or Prov.,Location,Missing,Link,First Published,Last Update
233653,,"Castellum Trajectum","Markering Romeins Castellum",,,"Initiatief Domplein",52.09145,5.12244,"Domstraat 6","Utrecht","Binnenstad","Utrecht","Utrecht","It is on Domstraat, on the left when traveling south. ",,https://www.hmdb.org/m.asp?m=233653,9/29/2023,12/30/2023
233755,,"Het Vakwerkhuis / The Half-Timbered House",,,,"The ANWB, VVV",52.09163,5.11704,"Oudegracht 133","Utrecht","Binnenstad","Utrecht","Utrecht","It is at the intersection of Bakkerstraat and Oudegracht, on the right when traveling south on Bakkerstraat. ",,https://www.hmdb.org/m.asp?m=233755,9/30/2023,12/31/2023
233979,,"Fresenburg",,,,"The ANWB, VVV",52.09226,5.11656,"Oudegracht 113","Utrecht","Binnenstad","Utrecht","Utrecht","It is on Oudegracht, on the left when traveling north. ",,https://www.hmdb.org/m.asp?m=233979,10/4/2023,12/31/2023
234056,,"Het Keijserrijk",,,,"The ANWB, VVV",52.09193,5.11899,"Ganzenmarkt 1","Utrecht","Binnenstad","Utrecht","Utrecht","It is at the intersection of Ganzenmarkt and Stadhuisbrug on Ganzenmarkt. ",,https://www.hmdb.org/m.asp?m=234056,10/5/2023,12/31/2023
234242,,"Sint-Janskapel of Palmiten-tempel / Saint Johns Chapel or Palmite Temple",,,,,52.09271,5.12175,"Minrebroederstraat 30BIS","Utrecht","Binnenstad","Utrecht","Utrecht","It is at the intersection of Minrebroederstraat and Korte Jansstraat, on the right when traveling west on Minrebroederstraat. ",,https://www.hmdb.org/m.asp?m=234242,10/10/2023,12/31/2023
234532,,"Eloyen Gasthuis / Eloyen Almshouse",,,,"The ANWB, VVV",52.08967,5.11886,"Boterstraat 22","Utrecht","Binnenstad","Utrecht","Utrecht","It is on Boterstraat, on the left when traveling west. ",,https://www.hmdb.org/m.asp?m=234532,10/16/2023,12/31/2023
238243,,"Groot Kapittelhuis van de Dom / Great Chapter House of the Cathedral",,,,"The ANWB, VVV",52.09043,5.12310,"Achter de Dom 7","Utrecht","Binnenstad","Utrecht","Utrecht","It is on Achter de Dom, on the right when traveling south. ",,https://www.hmdb.org/m.asp?m=238243,12/26/2023,12/26/2023
239521,,"Sociëteit De Vereeniging / “The Association” Society",,,,,52.08997,5.11661,"Mariaplaats 14","Utrecht","Binnenstad","Utrecht","Utrecht","It is on Mariaplaats, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=239521,1/15/2024,1/15/2024
239525,,"Congresgebouw De Vereeniging / Congress Building of “De Vereeniging”",,,,,52.08996,5.11659,"Mariaplaats 14","Utrecht","Binnenstad","Utrecht","Utrecht","It is on Mariaplaats, on the right when traveling west. ",,https://www.hmdb.org/m.asp?m=239525,1/15/2024,1/15/2024
239631,,"Sic Semper",,,,,52.08992,5.12368,"Nieuwegracht 1","Utrecht","Binnenstad","Utrecht","Utrecht","It is at the intersection of Nieuwegracht and Trans, on the left when traveling south on Nieuwegracht. ",,https://www.hmdb.org/m.asp?m=239631,1/18/2024,1/18/2024
,Source: Hmdb.org,Character encoding: utf-8 with BOM,Comma-separated file double-quote delimited with header row. Double-quoted columns can contain  HTML <tag>s and HTML entity escape sequences like &dollar; and &36;. Dates are in USA format.
